date,market_id,channel,sessions,quote_starts,bookings,media_spend,tracking_quality_pct
2026-01-01,M014,Organic Search,6634,597,137,444,78.9
2026-01-01,M014,Direct,725,109,40,882,88.4
2026-01-01,M014,Email,5923,1007,423,640,95.6
2026-01-01,M014,Affiliate,4507,496,139,509,80.7
2026-01-01,M015,Paid Search,5845,1111,244,7246,80.5
2026-01-01,M015,Organic Search,4478,806,266,80,83.9
2026-01-01,M015,Direct,3968,556,139,603,94.4
2026-01-01,M015,Email,2083,375,83,855,80.1
2026-01-01,M015,Affiliate,1278,217,54,856,96.3
2026-01-01,M016,Paid Search,3427,446,174,4656,88.6
2026-01-01,M016,Organic Search,7103,1279,345,63,81.6
2026-01-01,M016,Direct,4097,860,249,364,85.1
2026-01-01,M016,Email,834,133,32,234,96.0
2026-01-01,M016,Affiliate,1204,193,50,244,91.2
2026-01-01,M017,Paid Search,4408,397,99,1963,89.1
2026-01-01,M017,Organic Search,3260,359,97,445,98.5
2026-01-01,M017,Direct,2150,323,74,716,90.6
2026-01-01,M017,Email,4057,568,119,292,84.7
2026-01-01,M017,Affiliate,915,137,33,287,98.7
2026-01-01,M018,Paid Search,3694,480,182,835,83.2
2026-01-01,M018,Organic Search,5342,641,167,548,81.3
2026-01-01,M018,Direct,2018,262,71,77,96.1
2026-01-01,M018,Email,1184,107,24,682,90.4
2026-01-01,M018,Affiliate,2604,495,168,681,91.7
2026-01-01,M019,Paid Search,2971,386,131,1877,82.0
2026-01-01,M019,Organic Search,5511,1102,364,248,91.2
2026-01-01,M019,Direct,6853,1371,274,662,91.3
2026-01-01,M019,Email,3189,542,184,348,80.6
2026-01-01,M019,Affiliate,929,121,23,458,93.7
2026-01-01,M020,Paid Search,6759,1284,424,707,88.2
2026-01-01,M020,Organic Search,5077,1015,244,669,98.2
2026-01-01,M020,Direct,3234,679,136,62,86.0
2026-01-01,M020,Email,4089,654,170,392,83.0
2026-01-01,M020,Affiliate,6972,976,361,640,83.4
2026-01-02,M001,Paid Search,685,144,27,4126,82.5
2026-01-02,M001,Organic Search,6716,604,115,561,90.0
2026-01-02,M001,Direct,3558,605,127,264,83.8
2026-01-02,M001,Email,2282,342,79,641,91.9
2026-01-02,M001,Affiliate,4845,872,331,898,87.0
2026-01-02,M002,Paid Search,6241,1311,446,1327,95.6
2026-01-02,M002,Organic Search,4003,600,174,59,85.4
2026-01-02,M002,Direct,5304,796,167,831,85.8
2026-01-02,M002,Email,2687,349,66,254,89.2
2026-01-02,M002,Affiliate,516,108,38,442,89.1
2026-01-02,M003,Paid Search,3009,602,223,6898,89.2
2026-01-02,M003,Organic Search,5399,1026,267,767,79.2
2026-01-02,M003,Direct,5048,606,164,746,89.6
2026-01-02,M003,Email,4800,816,310,674,78.8
2026-01-02,M003,Affiliate,4810,818,205,733,91.5
2026-01-02,M004,Paid Search,1909,382,153,6547,89.6
2026-01-02,M004,Organic Search,926,111,21,165,91.6
2026-01-02,M004,Direct,7166,1075,409,254,90.6
2026-01-02,M004,Email,3980,836,276,547,91.8
2026-01-02,M004,Affiliate,3297,264,100,18,90.3
2026-01-02,M005,Paid Search,6916,1452,363,6154,83.4
2026-01-02,M005,Organic Search,635,140,52,604,89.1
2026-01-02,M005,Direct,4567,502,95,209,82.5
2026-01-02,M005,Email,1590,223,83,381,91.5
2026-01-02,M005,Affiliate,6596,1253,338,688,98.5
2026-01-02,M006,Paid Search,6905,1450,377,3178,91.7
2026-01-02,M006,Organic Search,6847,1301,247,141,87.9
2026-01-02,M006,Direct,701,70,24,609,97.1
2026-01-02,M006,Email,6518,652,163,835,98.2
2026-01-02,M006,Affiliate,2342,468,136,245,98.3
2026-01-02,M007,Paid Search,3586,753,143,4189,94.5
2026-01-02,M007,Organic Search,3383,372,86,890,86.8
2026-01-02,M007,Direct,5141,566,142,395,98.1
2026-01-02,M007,Email,2836,454,100,120,94.5
2026-01-02,M007,Affiliate,2353,212,42,684,95.7
2026-01-02,M008,Paid Search,5016,552,121,2051,94.1
2026-01-02,M008,Organic Search,3478,522,162,666,83.7
2026-01-02,M008,Direct,5578,1171,351,299,97.3
2026-01-02,M008,Email,4388,570,114,382,84.7
2026-01-02,M008,Affiliate,3629,617,160,390,79.9
2026-01-02,M009,Paid Search,5686,1194,275,3990,83.8
2026-01-02,M009,Organic Search,470,66,17,803,90.0
2026-01-02,M009,Direct,464,93,20,441,80.3
2026-01-02,M009,Email,3450,518,114,826,80.8
2026-01-02,M009,Affiliate,6733,875,315,679,83.3
2026-01-02,M010,Paid Search,2352,400,168,1918,79.3
2026-01-02,M010,Organic Search,5341,481,178,133,93.6
2026-01-02,M010,Direct,4532,363,87,357,90.5
2026-01-02,M010,Email,6503,715,186,617,92.1
2026-01-02,M010,Affiliate,2891,376,135,724,90.6
2026-01-02,M011,Paid Search,5655,1244,236,4789,89.9
2026-01-02,M011,Organic Search,6375,1148,390,322,81.1
2026-01-02,M011,Direct,3594,683,225,731,83.1
2026-01-02,M011,Email,5931,534,203,343,90.9
2026-01-02,M011,Affiliate,1458,321,125,567,93.2
2026-01-02,M012,Paid Search,1199,132,45,1610,92.7
2026-01-02,M012,Organic Search,4788,766,207,323,83.7
2026-01-02,M012,Direct,1279,166,66,694,86.5
2026-01-02,M012,Email,6109,672,215,850,79.2
2026-01-02,M012,Affiliate,1678,218,83,324,97.0
2026-01-02,M013,Paid Search,6848,1370,343,6752,82.7
2026-01-02,M013,Organic Search,3603,793,182,90,81.3
2026-01-02,M013,Direct,5881,1000,340,760,88.6
2026-01-02,M013,Email,1164,198,57,455,97.7
2026-01-02,M013,Affiliate,3467,416,166,383,88.6
2026-01-02,M014,Paid Search,1287,193,58,6203,90.3
2026-01-02,M014,Organic Search,3843,461,175,390,89.6
2026-01-02,M014,Direct,2332,233,54,367,78.6
2026-01-02,M014,Email,4413,838,243,274,94.9
2026-01-02,M014,Affiliate,6048,1210,411,797,92.5
2026-01-02,M015,Paid Search,4270,769,238,1599,95.0
2026-01-02,M015,Organic Search,2148,279,61,38,84.9
2026-01-02,M015,Direct,1569,314,85,783,90.8
2026-01-02,M015,Email,4282,814,220,511,86.0
2026-01-02,M015,Affiliate,4751,903,379,743,95.9
2026-01-02,M016,Paid Search,4968,596,149,7821,79.0
2026-01-02,M016,Organic Search,535,86,20,850,92.6
2026-01-02,M016,Direct,4321,432,91,108,79.6
2026-01-02,M016,Email,4130,702,253,799,94.7
2026-01-02,M016,Affiliate,2302,322,68,50,97.9
2026-01-02,M017,Paid Search,1876,244,85,6523,91.5
2026-01-02,M017,Organic Search,4194,503,101,449,86.9
2026-01-02,M017,Direct,2328,466,163,517,84.8
2026-01-02,M017,Email,1168,128,32,723,91.3
2026-01-02,M017,Affiliate,6784,611,171,630,94.7
2026-01-02,M018,Paid Search,3195,415,137,8143,93.5
2026-01-02,M018,Organic Search,3550,604,187,511,79.9
2026-01-02,M018,Direct,2438,488,156,745,83.6
2026-01-02,M018,Email,2138,449,99,216,80.1
2026-01-02,M018,Affiliate,6727,1345,417,137,96.9
2026-01-02,M019,Paid Search,2305,300,117,5783,93.1
2026-01-02,M019,Organic Search,1000,210,67,553,90.3
2026-01-02,M019,Direct,3096,526,132,827,95.4
2026-01-02,M019,Email,2607,417,150,34,92.9
2026-01-02,M019,Affiliate,865,95,29,896,96.3
2026-01-02,M020,Paid Search,6986,1397,433,7032,85.4
2026-01-02,M020,Organic Search,3571,750,188,37,79.6
2026-01-02,M020,Direct,3420,342,120,87,98.8
2026-01-02,M020,Email,465,70,18,830,78.6
2026-01-02,M020,Affiliate,1283,115,46,349,92.4
2026-01-03,M001,Paid Search,3863,811,203,1953,89.3
2026-01-03,M001,Organic Search,1474,221,60,218,98.1
2026-01-03,M001,Direct,4745,759,273,896,78.5
2026-01-03,M001,Email,3445,586,135,108,95.4
2026-01-03,M001,Affiliate,2910,524,199,171,98.9
2026-01-03,M002,Paid Search,1835,202,55,8144,90.5
2026-01-03,M002,Organic Search,1373,233,79,336,86.9
2026-01-03,M002,Direct,6593,1319,383,62,84.7
2026-01-03,M002,Email,6319,948,303,871,87.5
2026-01-03,M002,Affiliate,3609,289,81,637,79.3
2026-01-03,M003,Paid Search,4200,336,74,3117,85.2
2026-01-03,M003,Organic Search,1313,118,47,487,92.2
2026-01-03,M003,Direct,1754,281,107,222,97.0
2026-01-03,M003,Email,3831,306,83,257,87.0
2026-01-03,M003,Affiliate,3785,492,207,238,83.1
2026-01-03,M004,Paid Search,1743,314,116,2132,98.0
2026-01-03,M004,Organic Search,3472,382,80,153,81.9
2026-01-03,M004,Direct,5497,934,243,791,81.9
2026-01-03,M004,Email,6508,1237,507,859,95.3
2026-01-03,M004,Affiliate,2251,383,149,290,96.4
2026-01-03,M005,Paid Search,6212,1367,437,4098,84.7
2026-01-03,M005,Organic Search,6221,747,261,418,86.0
2026-01-03,M005,Direct,6723,538,102,118,79.2
2026-01-03,M005,Email,4008,521,146,570,86.1
2026-01-03,M005,Affiliate,838,159,38,326,85.4
2026-01-03,M006,Paid Search,6441,1353,406,3181,85.0
2026-01-03,M006,Organic Search,1318,119,48,516,98.7
2026-01-03,M006,Direct,2737,274,96,438,94.4
2026-01-03,M006,Email,3342,501,200,658,91.6
2026-01-03,M006,Affiliate,3522,423,140,797,82.4
2026-01-03,M007,Paid Search,2479,372,149,2812,94.5
2026-01-03,M007,Organic Search,6077,668,187,265,95.3
2026-01-03,M007,Direct,3211,642,257,833,78.0
2026-01-03,M007,Email,553,66,15,145,98.6
2026-01-03,M007,Affiliate,6175,988,198,475,83.9
2026-01-03,M008,Paid Search,2196,329,63,3844,86.6
2026-01-03,M008,Organic Search,2141,321,87,336,81.6
2026-01-03,M008,Direct,6319,1137,341,144,89.3
2026-01-03,M008,Email,3780,416,108,560,96.3
2026-01-03,M008,Affiliate,5491,439,145,35,94.8
2026-01-03,M009,Paid Search,5243,734,213,7980,90.9
2026-01-03,M009,Organic Search,4612,692,270,738,98.1
2026-01-03,M009,Direct,4461,401,88,879,89.6
2026-01-03,M009,Email,3119,312,90,470,87.4
2026-01-03,M009,Affiliate,4079,449,130,626,89.9
2026-01-03,M010,Paid Search,992,179,39,1322,81.9
2026-01-03,M010,Organic Search,3886,622,199,594,89.2
2026-01-03,M010,Direct,5821,524,220,484,96.0
2026-01-03,M010,Email,6062,849,289,67,92.7
2026-01-03,M010,Affiliate,7033,914,265,611,92.4
2026-01-03,M011,Paid Search,5261,894,268,3668,89.9
2026-01-03,M011,Organic Search,3170,539,205,741,80.7
2026-01-03,M011,Direct,4429,930,391,358,78.8
2026-01-03,M011,Email,6047,907,299,187,94.2
2026-01-03,M011,Affiliate,4604,783,290,8,79.5
2026-01-03,M012,Paid Search,3071,276,61,2482,79.2
2026-01-03,M012,Organic Search,690,138,25,743,97.0
2026-01-03,M012,Direct,6689,1003,311,19,92.5
2026-01-03,M012,Email,2406,505,111,387,90.4
2026-01-03,M012,Affiliate,6269,1316,513,713,97.3
2026-01-03,M013,Paid Search,4147,373,104,6442,98.3
2026-01-03,M013,Organic Search,2311,508,112,717,92.0
2026-01-03,M013,Direct,4222,507,101,51,82.8
2026-01-03,M013,Email,4571,640,211,391,85.3
2026-01-03,M013,Affiliate,2255,383,142,170,93.5
2026-01-03,M014,Paid Search,6601,858,163,5627,87.9
2026-01-03,M014,Organic Search,1432,301,81,847,79.1
2026-01-03,M014,Direct,5415,921,193,103,98.6
2026-01-03,M014,Email,5296,477,143,640,80.6
2026-01-03,M014,Affiliate,6985,908,254,520,83.3
2026-01-03,M015,Paid Search,6125,674,270,705,91.4
2026-01-03,M015,Organic Search,6106,916,366,235,91.9
2026-01-03,M015,Direct,508,107,28,612,94.8
2026-01-03,M015,Email,2975,625,144,98,91.6
2026-01-03,M015,Affiliate,6459,1098,428,474,83.2
2026-01-03,M016,Paid Search,4743,427,81,4863,88.2
2026-01-03,M016,Organic Search,3522,564,186,509,88.6
2026-01-03,M016,Direct,1300,247,54,790,87.9
2026-01-03,M016,Email,818,172,46,230,84.3
2026-01-03,M016,Affiliate,1524,244,63,843,97.0
2026-01-03,M017,Paid Search,5124,461,120,3231,91.4
2026-01-03,M017,Organic Search,3366,640,243,265,87.0
2026-01-03,M017,Direct,749,157,30,207,80.4
2026-01-03,M017,Email,6566,1116,368,834,93.2
2026-01-03,M017,Affiliate,4566,411,119,684,91.5
2026-01-03,M018,Paid Search,2044,204,41,3625,92.9
2026-01-03,M018,Organic Search,2383,405,142,885,81.0
2026-01-03,M018,Direct,4582,733,271,839,92.8
2026-01-03,M018,Email,5062,1063,244,516,80.1
2026-01-03,M018,Affiliate,6430,1350,513,778,86.3
2026-01-03,M019,Paid Search,1931,290,99,5299,79.7
2026-01-03,M019,Organic Search,3896,429,107,18,78.6
2026-01-03,M019,Direct,4086,531,175,230,89.2
2026-01-03,M019,Email,6941,1180,295,482,98.8
2026-01-03,M019,Affiliate,4352,479,163,169,91.8
2026-01-03,M020,Paid Search,2027,182,38,2522,98.8
2026-01-03,M020,Organic Search,5965,835,267,621,84.3
2026-01-03,M020,Direct,4054,568,131,27,90.6
2026-01-03,M020,Email,2899,377,83,138,98.0
2026-01-03,M020,Affiliate,5455,818,327,651,88.7
2026-01-04,M001,Paid Search,5018,1054,285,6865,80.7
2026-01-04,M001,Organic Search,2890,231,67,241,87.9
2026-01-04,M001,Direct,3506,351,74,850,89.6
2026-01-04,M001,Email,6658,533,181,701,86.6
2026-01-04,M001,Affiliate,3859,849,289,356,80.7
2026-01-04,M002,Paid Search,5838,1051,221,8114,98.5
2026-01-04,M002,Organic Search,879,167,45,797,96.5
2026-01-04,M002,Direct,5421,867,243,98,90.6
2026-01-04,M002,Email,4984,698,195,109,85.7
2026-01-04,M002,Affiliate,3312,397,79,537,83.4
2026-01-04,M003,Paid Search,3838,461,148,8187,89.0
2026-01-04,M003,Organic Search,1126,113,21,598,88.6
2026-01-04,M003,Direct,3148,409,160,895,84.6
2026-01-04,M003,Email,4932,789,260,808,79.2
2026-01-04,M003,Affiliate,6675,1402,280,407,86.3
2026-01-04,M004,Paid Search,5902,649,195,5305,86.9
2026-01-04,M004,Organic Search,1003,90,31,523,94.2
2026-01-04,M004,Direct,6613,1256,339,510,89.2
2026-01-04,M004,Email,698,63,13,609,79.0
2026-01-04,M004,Affiliate,1964,275,80,719,93.4
2026-01-04,M005,Paid Search,4658,745,231,3998,79.4
2026-01-04,M005,Organic Search,6738,539,124,377,78.2
2026-01-04,M005,Direct,7083,1062,393,356,88.1
2026-01-04,M005,Email,4401,352,120,285,98.3
2026-01-04,M005,Affiliate,4738,995,279,110,91.2
2026-01-04,M006,Paid Search,3998,360,148,6871,78.0
2026-01-04,M006,Organic Search,5853,1229,430,99,83.2
2026-01-04,M006,Direct,858,180,41,303,84.7
2026-01-04,M006,Email,4225,338,98,205,83.6
2026-01-04,M006,Affiliate,5723,1030,237,738,98.5
2026-01-04,M007,Paid Search,1970,256,64,6567,93.3
2026-01-04,M007,Organic Search,7012,841,320,169,79.3
2026-01-04,M007,Direct,801,104,36,597,92.9
2026-01-04,M007,Email,2902,377,109,692,91.2
2026-01-04,M007,Affiliate,5472,711,192,687,95.5
2026-01-04,M008,Paid Search,5897,767,207,2716,96.5
2026-01-04,M008,Organic Search,1832,183,64,1,83.1
2026-01-04,M008,Direct,4836,629,120,577,93.4
2026-01-04,M008,Email,1289,219,81,147,89.7
2026-01-04,M008,Affiliate,6603,1056,401,457,81.9
2026-01-04,M009,Paid Search,3349,469,89,4071,89.6
2026-01-04,M009,Organic Search,5270,738,273,211,93.2
2026-01-04,M009,Direct,6280,1130,396,258,80.0
2026-01-04,M009,Email,554,122,22,116,96.4
2026-01-04,M009,Affiliate,1041,156,41,98,79.3
2026-01-04,M010,Paid Search,3287,394,95,7614,92.0
2026-01-04,M010,Organic Search,2252,360,112,713,88.2
2026-01-04,M010,Direct,6978,1396,433,251,79.7
2026-01-04,M010,Email,1728,346,69,203,85.2
2026-01-04,M010,Affiliate,1463,293,85,682,84.0
2026-01-04,M011,Paid Search,1136,91,19,5651,98.0
2026-01-04,M011,Organic Search,2667,240,79,545,96.8
2026-01-04,M011,Direct,5474,1040,302,780,87.6
2026-01-04,M011,Email,6685,1136,273,899,79.3
2026-01-04,M011,Affiliate,687,137,53,199,87.7
2026-01-04,M012,Paid Search,5279,950,219,6075,81.4
2026-01-04,M012,Organic Search,4414,883,336,113,84.2
2026-01-04,M012,Direct,6753,1148,321,362,93.4
2026-01-04,M012,Email,2533,380,125,627,79.8
2026-01-04,M012,Affiliate,631,82,33,371,93.1
2026-01-04,M013,Paid Search,5590,727,305,5751,82.8
2026-01-04,M013,Organic Search,5537,720,288,764,92.2
2026-01-04,M013,Direct,2804,561,135,143,83.7
2026-01-04,M013,Email,6870,618,142,745,94.2
2026-01-04,M013,Affiliate,5749,575,236,455,91.8
2026-01-04,M014,Paid Search,5445,599,240,1635,96.5
2026-01-04,M014,Organic Search,2273,477,191,695,80.0
2026-01-04,M014,Direct,3097,403,153,75,82.7
2026-01-04,M014,Email,3008,421,143,858,84.1
2026-01-04,M014,Affiliate,3101,558,140,11,92.0
2026-01-04,M015,Paid Search,3647,401,100,5702,78.2
2026-01-04,M015,Organic Search,5206,729,284,892,82.4
2026-01-04,M015,Direct,3729,709,291,444,83.1
2026-01-04,M015,Email,5098,1071,246,706,83.2
2026-01-04,M015,Affiliate,5801,928,260,875,94.5
2026-01-04,M016,Paid Search,6389,511,194,7266,79.6
2026-01-04,M016,Organic Search,4878,780,187,768,82.8
2026-01-04,M016,Direct,4860,972,321,63,95.0
2026-01-04,M016,Email,6455,904,344,608,90.3
2026-01-04,M016,Affiliate,937,150,56,606,90.9
2026-01-04,M017,Paid Search,1333,160,50,3532,89.1
2026-01-04,M017,Organic Search,5110,1022,368,483,93.0
2026-01-04,M017,Direct,6231,685,219,428,86.8
2026-01-04,M017,Email,1167,128,49,669,83.6
2026-01-04,M017,Affiliate,1798,378,102,748,87.0
2026-01-04,M018,Paid Search,3339,601,168,5800,78.4
2026-01-04,M018,Organic Search,1955,293,79,682,84.8
2026-01-04,M018,Direct,6241,1311,406,143,90.9
2026-01-04,M018,Email,4903,490,103,767,85.0
2026-01-04,M018,Affiliate,1158,243,87,20,86.9
2026-01-04,M019,Paid Search,6024,723,296,2709,80.8
2026-01-04,M019,Organic Search,4812,529,217,313,86.7
2026-01-04,M019,Direct,3530,494,99,897,94.5
2026-01-04,M019,Email,5546,1165,384,180,82.7
2026-01-04,M019,Affiliate,2068,227,41,272,90.9
2026-01-04,M020,Paid Search,651,104,28,3333,95.8
2026-01-04,M020,Organic Search,6068,546,115,861,78.8
2026-01-04,M020,Direct,5254,1103,419,845,79.4
2026-01-04,M020,Email,5354,1124,393,203,85.2
2026-01-04,M020,Affiliate,4812,962,394,143,97.7
2026-01-05,M001,Paid Search,4259,426,145,2816,98.1
2026-01-05,M001,Organic Search,1762,282,118,734,88.0
2026-01-05,M001,Direct,6546,1309,236,831,91.1
2026-01-05,M001,Email,7110,1138,398,614,82.4
2026-01-05,M001,Affiliate,1217,195,62,885,85.8
2026-01-05,M002,Paid Search,7154,1431,343,2565,86.9
2026-01-05,M002,Organic Search,4383,745,261,327,83.3
2026-01-05,M002,Direct,2112,359,140,537,98.9
2026-01-05,M002,Email,5652,1017,285,426,81.8
2026-01-05,M002,Affiliate,3950,356,128,276,88.0
2026-01-05,M003,Paid Search,3772,528,95,2341,79.2
2026-01-05,M003,Organic Search,4759,571,154,865,78.5
2026-01-05,M003,Direct,1266,228,82,72,94.3
2026-01-05,M003,Email,5380,1076,301,881,83.5
2026-01-05,M003,Affiliate,5968,836,159,533,86.2
2026-01-05,M004,Paid Search,5968,716,279,2511,83.1
2026-01-05,M004,Organic Search,3213,675,216,824,92.1
2026-01-05,M004,Direct,5264,895,170,288,84.6
2026-01-05,M004,Email,5738,803,281,787,78.6
2026-01-05,M004,Affiliate,2462,394,142,406,97.2
2026-01-05,M005,Paid Search,4728,615,209,6049,84.8
2026-01-05,M005,Organic Search,6601,1386,347,407,88.5
2026-01-05,M005,Direct,5282,1109,366,572,83.3
2026-01-05,M005,Email,524,110,37,138,87.4
2026-01-05,M005,Affiliate,3436,687,124,196,89.8
2026-01-05,M006,Paid Search,2422,460,175,2300,90.5
2026-01-05,M006,Organic Search,2444,440,84,849,97.6
2026-01-05,M006,Direct,3071,369,118,797,90.2
2026-01-05,M006,Email,1573,189,77,855,81.6
2026-01-05,M006,Affiliate,6871,618,235,237,93.5
2026-01-05,M007,Paid Search,6864,686,220,3117,98.3
2026-01-05,M007,Organic Search,4622,693,270,100,95.5
2026-01-05,M007,Direct,4252,468,159,567,86.7
2026-01-05,M007,Email,6692,1338,254,476,95.2
2026-01-05,M007,Affiliate,4466,849,178,575,86.6
2026-01-05,M008,Paid Search,6911,1382,539,5133,84.7
2026-01-05,M008,Organic Search,1136,159,54,452,91.5
2026-01-05,M008,Direct,1979,336,67,616,78.8
2026-01-05,M008,Email,1582,127,48,195,79.1
2026-01-05,M008,Affiliate,2106,379,72,105,85.0
2026-01-05,M009,Paid Search,6275,1318,277,2814,84.0
2026-01-05,M009,Organic Search,2976,357,82,778,80.7
2026-01-05,M009,Direct,4950,594,178,256,86.2
2026-01-05,M009,Email,515,88,21,623,86.3
2026-01-05,M009,Affiliate,3079,462,185,591,94.7
2026-01-05,M010,Paid Search,6658,533,96,5762,79.8
2026-01-05,M010,Organic Search,4782,383,157,402,82.3
2026-01-05,M010,Direct,5853,1229,455,724,89.8
2026-01-05,M010,Email,844,84,18,247,85.8
2026-01-05,M010,Affiliate,5518,883,203,464,84.8
2026-01-05,M011,Paid Search,2771,499,120,5445,81.4
2026-01-05,M011,Organic Search,4834,918,239,276,82.7
2026-01-05,M011,Direct,5889,1060,403,865,90.5
2026-01-05,M011,Email,1654,165,45,430,90.9
2026-01-05,M011,Affiliate,7088,992,347,6,81.9
2026-01-05,M012,Paid Search,5787,694,167,8009,92.6
2026-01-05,M012,Organic Search,2365,378,113,406,82.1
2026-01-05,M012,Direct,960,173,50,480,82.7
2026-01-05,M012,Email,5873,1233,333,464,89.2
2026-01-05,M012,Affiliate,682,102,20,811,85.2
2026-01-05,M013,Paid Search,5680,511,189,6278,91.8
2026-01-05,M013,Organic Search,4398,924,185,639,81.0
2026-01-05,M013,Direct,6647,731,300,226,93.8
2026-01-05,M013,Email,3385,440,79,169,79.2
2026-01-05,M013,Affiliate,3445,758,235,146,85.9
2026-01-05,M014,Paid Search,1511,302,72,3615,84.3
2026-01-05,M014,Organic Search,1275,179,68,664,78.8
2026-01-05,M014,Direct,1419,156,42,574,82.8
2026-01-05,M014,Email,5542,1053,442,412,89.2
2026-01-05,M014,Affiliate,6799,748,269,94,79.6
2026-01-05,M015,Paid Search,1279,128,33,6271,91.2
2026-01-05,M015,Organic Search,4409,750,165,367,91.3
2026-01-05,M015,Direct,1324,146,28,637,97.9
2026-01-05,M015,Email,5730,860,310,217,92.1
2026-01-05,M015,Affiliate,6500,650,176,339,82.6
2026-01-05,M016,Paid Search,2868,258,67,6735,96.5
2026-01-05,M016,Organic Search,1682,219,90,712,89.6
2026-01-05,M016,Direct,2887,404,154,671,78.8
2026-01-05,M016,Email,1304,170,49,386,90.5
2026-01-05,M016,Affiliate,3630,653,235,648,83.9
2026-01-05,M017,Paid Search,1108,144,36,5476,83.1
2026-01-05,M017,Organic Search,1908,420,160,585,86.1
2026-01-05,M017,Direct,6676,1068,331,289,98.0
2026-01-05,M017,Email,6211,1366,369,294,83.8
2026-01-05,M017,Affiliate,7118,783,211,590,83.3
2026-01-05,M018,Paid Search,5070,608,170,7437,90.5
2026-01-05,M018,Organic Search,2296,207,70,71,90.2
2026-01-05,M018,Direct,2029,406,118,94,96.0
2026-01-05,M018,Email,2543,280,98,799,85.0
2026-01-05,M018,Affiliate,572,74,24,10,98.8
2026-01-05,M019,Paid Search,6809,749,217,1778,96.3
2026-01-05,M019,Organic Search,5878,705,289,263,90.3
